customer_code,customer_name,is_b2b,cluster_label,recency,frequency,monetary,total_revenue,b2b_probability
10000,Customer_0001,1,B2B_2,3,1129,77018932,77018932,0.9999999798949535
10002,Customer_0003,1,B2B_1,101,349,5404725,5404725,0.8987057816880377
10003,Customer_0004,1,B2B_2,7,1447,58034028,58034028,0.9999999999427749
10005,Customer_0006,1,B2B_1,16,45,730666,730666,0.5409127442810683
10007,Customer_0008,1,B2B_1,3,263,2589368,2589368,0.781777256281082
10008,Customer_0276,1,B2B_2,3,2348,77143426,77819552,0.9999999628891114
10009,Customer_0010,1,B2B_1,18,40,2534393,2534393,0.5798596963325771
10010,Customer_0011,1,B2B_1,6,339,12031209,12031209,0.9316496093768097
10011,Customer_0012,1,B2B_2,7,1340,15246750,15255645,0.9744311703721974
10012,Customer_0013,1,B2B_1,7,69,518649,518649,0.6289128586564676
10013,Customer_0014,1,B2B_2,7,384,78380756,78380756,0.9999999968411213
10014,Customer_0015,1,B2B_1,5,784,3910005,3910005,0.8822474885170619
10016,Customer_0017,1,B2B_1,41,17,215332,215332,0.627815419469871
10017,Customer_0018,1,B2B_1,3,114,3827263,3827263,0.6782098148894894
10018,Customer_0019,1,B2B_1,3,809,10548032,10548032,0.9918239899268085
10019,Customer_0020,1,B2B_1,382,40,666965,666965,0.7192298967493067
10020,Customer_0021,1,B2B_1,58,9,63662,63662,0.6021106910162909
10021,Customer_0022,1,B2B_2,1015,1036,54230327,54230327,0.999851888038131
10022,Customer_0023,1,B2B_1,17,135,367754,367754,0.5563742149464359
10023,Customer_0024,1,B2B_2,1511,987,52096307,52096307,0.999999666898603
10024,Customer_0025,1,B2B_1,4,277,2751647,2751647,0.7818179499332115
10025,Customer_0026,1,B2B_1,10,490,39462615,39462615,0.9991262334065791
10026,Customer_0027,1,B2B_2,13,429,225427462,225427462,1.0
10027,Customer_0223,1,B2B_1,11,155,4473478,4473478,0.7987001429911196
10028,Customer_0029,1,B2B_1,34,152,889104,889104,0.6920119370054083
10029,Customer_0211,1,B2B_1,3,735,8210298,8210298,0.9571112432873785
10030,Customer_0031,1,B2B_1,3,684,8567736,8567736,0.8865065875191617
10031,Customer_0032,1,B2B_1,7,62,1006257,1006257,0.723208310522411
10032,Customer_0033,1,B2B_0,1901,87,2445341,2445341,0.9733976944918915
10033,Customer_0034,1,B2B_1,9,294,2736121,2736121,0.7999604680400134
10034,Customer_0035,1,B2B_1,252,38,932641,932641,0.5310964433429777
10035,Customer_0036,1,B2B_1,73,46,553715,553715,0.504170406064239
10036,Customer_0037,1,B2B_1,493,222,827218,827218,0.5340047007778159
10037,Customer_0038,1,B2B_1,25,120,1068520,1068520,0.5579049939326951
10038,Customer_0039,1,B2B_1,30,141,12812779,12812779,0.9105312022932178
10039,Customer_0040,1,B2B_1,16,289,9840670,9840670,0.9973107632238297
10040,Customer_0041,1,B2B_1,27,98,1108958,1108958,0.5531353550194384
10041,Customer_0042,1,B2B_0,2015,12,154089,154089,0.6259958912618548
10042,Customer_0043,1,B2B_1,6,251,6704995,6704995,0.9544250855048244
10043,Customer_0044,1,B2B_1,4,109,1234289,1234289,0.5340493811231838
10044,Customer_0045,1,B2B_1,3,231,894190,894190,0.5248206733071297
10045,Customer_0046,1,B2B_1,17,25,412672,412672,0.6866088869089149
10048,Customer_0200,1,B2B_1,5,285,3509525,3509525,0.8801357498257708
10050,Customer_0165,1,B2B_0,2821,26,212598,212598,0.8988240178676783
10051,Customer_0052,1,B2B_1,21,128,960999,960999,0.6219730903139729
