customer_code,ltv,total_orders,tenure_years,avg_monthly_profit,cluster_label,is_b2b,is_royal
10000,77018932,1129,9.431895961670088,675604.6666666666,B2B_2,1,1
10001,1342339,134,6.261464750171116,46287.55172413793,B2C_3,0,0
10002,5404725,349,9.152635181382614,48691.21621621621,B2B_1,1,1
10003,58034028,1447,9.423682409308693,509070.4210526316,B2B_2,1,1
10004,280643,30,1.0130047912388775,31182.555555555555,B2C_0,0,0
10005,730666,45,9.399041752224504,16992.232558139534,B2B_1,1,0
10006,4435504,481,4.7091033538672145,76474.20689655172,B2C_1,0,1
10007,2589368,263,9.431895961670088,22914.7610619469,B2B_1,1,1
10008,77143426,2348,7.24435318275154,876629.8409090909,B2B_2,1,1
10009,2534393,40,9.390828199863108,120685.38095238095,B2B_1,1,1
10010,12031209,339,9.423682409308693,106470.87610619469,B2B_1,1,1
10011,15246750,1340,9.418206707734429,133743.42105263157,B2B_2,1,1
10012,518649,69,9.418206707734429,8365.306451612903,B2B_1,1,0
10013,78380756,384,9.415468856947296,699828.1785714285,B2B_2,1,1
10014,3910005,784,9.42094455852156,34298.28947368421,B2B_1,1,1
10015,16593,2,0.8021902806297057,8296.5,B2C_0,0,0
10016,215332,17,9.316906228610542,15380.857142857143,B2B_1,1,0
10017,3827263,114,9.42094455852156,39867.322916666664,B2B_1,1,1
10018,10548032,809,9.42094455852156,92526.59649122808,B2B_1,1,1
10019,666965,40,8.383299110198495,19056.14285714286,B2B_1,1,0
10020,63662,9,9.270362765229295,7073.555555555556,B2B_1,1,0
10021,54230327,1036,6.650239561943874,669510.2098765433,B2B_2,1,1
10022,367754,135,9.379876796714578,3830.7708333333335,B2B_1,1,0
10023,52096307,987,5.28952772073922,826925.5079365079,B2B_2,1,1
10024,2751647,277,9.415468856947296,42994.484375,B2B_1,1,1
10025,39462615,490,9.39356605065024,346163.2894736842,B2B_1,1,1
10026,225427462,429,9.385352498288844,1977433.8771929825,B2B_2,1,1
10027,4473478,155,9.390828199863108,47089.242105263154,B2B_1,1,1
10028,889104,152,9.32785763175907,9358.98947368421,B2B_1,1,0
10029,8210298,735,9.412731006160165,73306.23214285714,B2B_1,1,1
10030,8567736,684,9.412731006160165,75820.67256637168,B2B_1,1,1
10031,1006257,62,9.399041752224504,19730.529411764706,B2B_1,1,0
