year,month,market_volume_kg,market_value_yen,market_avg_price,date
2015,1,3703.0,2829113.0,764.0,2015-01-01
2015,2,6240.0,4843731.0,776.0,2015-02-01
2015,3,6369.0,5397326.0,847.0,2015-03-01
2015,4,10700.0,8769215.0,820.0,2015-04-01
2015,5,11933.0,9929686.0,832.0,2015-05-01
2015,6,10479.0,8298444.0,792.0,2015-06-01
2015,7,8198.0,6365569.0,776.0,2015-07-01
2015,8,8374.0,6478452.0,774.0,2015-08-01
2015,9,6851.0,5323600.0,777.0,2015-09-01
2015,10,4490.0,3466386.0,772.0,2015-10-01
2015,11,5857.0,4468071.0,763.0,2015-11-01
2015,12,4134.0,3313580.0,802.0,2015-12-01
2016,1,4802.0,3755387.0,782.0,2016-01-01
2016,2,5947.0,4588919.0,772.0,2016-02-01
2016,3,9129.0,7639313.0,837.0,2016-03-01
2016,4,13140.0,11488538.0,874.0,2016-04-01
2016,5,14318.0,11963139.0,836.0,2016-05-01
2016,6,12203.0,10128654.0,830.0,2016-06-01
2016,7,12770.0,10788818.0,845.0,2016-07-01
2016,8,11486.0,9591189.0,835.0,2016-08-01
2016,9,9616.0,8026922.0,835.0,2016-09-01
2016,10,7748.0,6372198.0,822.0,2016-10-01
2016,11,6711.0,5584055.0,832.0,2016-11-01
2016,12,4986.0,4155370.0,833.0,2016-12-01
2017,1,6807.0,5691797.0,836.0,2017-01-01
2017,2,4899.0,3957016.0,808.0,2017-02-01
2017,3,13340.0,11204609.0,840.0,2017-03-01
2017,4,5649.0,5250619.0,929.0,2017-04-01
2017,5,11506.0,10957340.0,952.0,2017-05-01
2017,6,7057.0,6790686.0,962.0,2017-06-01
2017,7,7904.0,7411828.0,938.0,2017-07-01
2017,8,11425.0,11079748.0,970.0,2017-08-01
2017,9,8311.0,8348959.0,1005.0,2017-09-01
2017,10,6916.0,6951021.0,1005.0,2017-10-01
2017,11,6421.0,6374027.0,993.0,2017-11-01
2017,12,5858.0,5585032.0,953.0,2017-12-01
2018,1,4390.0,4279172.0,975.0,2018-01-01
2018,2,5147.0,4814642.0,935.0,2018-02-01
2018,3,7848.0,7313771.0,932.0,2018-03-01
2018,4,10178.0,9080136.0,892.0,2018-04-01
2018,5,7363.0,6520957.0,886.0,2018-05-01
2018,6,4226.0,3559368.0,842.0,2018-06-01
2018,7,5267.0,4415698.0,838.0,2018-07-01
2018,8,5462.0,4382247.0,802.0,2018-08-01
2018,9,4527.0,3605737.0,796.0,2018-09-01
2018,10,6237.0,5025903.0,806.0,2018-10-01
2018,11,3116.0,2454044.0,788.0,2018-11-01
2018,12,2941.0,2403349.0,817.0,2018-12-01
2019,1,2480.0,2017710.0,814.0,2019-01-01
2019,2,3103.0,2457972.0,792.0,2019-02-01
2019,3,3759.0,3083802.0,820.0,2019-03-01
2019,4,6965.0,5661471.0,813.0,2019-04-01
2019,5,4493.0,3715497.0,827.0,2019-05-01
2019,6,6100.0,4869119.0,798.0,2019-06-01
2019,7,4038.0,3185691.0,789.0,2019-07-01
2019,8,4922.0,3668784.0,745.0,2019-08-01
2019,9,4189.0,3142745.0,750.0,2019-09-01
2019,10,4026.0,3126902.0,777.0,2019-10-01
2019,11,3113.0,2418937.0,777.0,2019-11-01
2019,12,3656.0,2800863.0,766.0,2019-12-01
2020,1,3674.0,2588523.0,705.0,2020-01-01
2020,2,4346.0,3084888.0,710.0,2020-02-01
2020,3,7552.0,5633869.0,746.0,2020-03-01
2020,4,6778.0,5652274.0,834.0,2020-04-01
2020,5,9045.0,7369328.0,815.0,2020-05-01
2020,6,8930.0,7458178.0,835.0,2020-06-01
2020,7,9071.0,7100228.0,783.0,2020-07-01
2020,8,8550.0,6533383.0,764.0,2020-08-01
2020,9,8798.0,6553740.0,745.0,2020-09-01
2020,10,6031.0,4468825.0,741.0,2020-10-01
2020,11,4536.0,3280013.0,723.0,2020-11-01
2020,12,2988.0,2126931.0,712.0,2020-12-01
2021,1,4113.0,2879940.0,700.0,2021-01-01
2021,2,3537.0,2524813.0,714.0,2021-02-01
2021,3,3713.0,2633423.0,709.0,2021-03-01
2021,4,2055.0,1386082.0,674.0,2021-04-01
2021,5,6023.0,4315437.0,716.0,2021-05-01
2021,6,10776.0,7821434.0,726.0,2021-06-01
2021,7,5169.0,3911367.0,757.0,2021-07-01
2021,8,5149.0,3961973.0,769.0,2021-08-01
2021,9,7282.0,5634294.0,774.0,2021-09-01
2021,10,3240.0,2431631.0,751.0,2021-10-01
2021,11,4312.0,3330210.0,772.0,2021-11-01
2021,12,2656.0,2207284.0,831.0,2021-12-01
2022,1,3697.0,2908732.0,787.0,2022-01-01
2022,2,1794.0,1680125.0,937.0,2022-02-01
2022,3,4217.0,4219809.0,1001.0,2022-03-01
2022,4,15608.0,15402433.0,987.0,2022-04-01
2022,5,7797.0,7858488.0,1008.0,2022-05-01
2022,6,4288.0,4520178.0,1054.0,2022-06-01
2022,7,5817.0,5869798.0,1009.0,2022-07-01
2022,8,3080.0,3302651.0,1072.0,2022-08-01
2022,9,6134.0,5976319.0,974.0,2022-09-01
2022,10,5530.0,6056998.0,1095.0,2022-10-01
2022,11,4825.0,5029147.0,1042.0,2022-11-01
2022,12,4262.0,4895448.0,1149.0,2022-12-01
2023,1,5026.0,5194391.0,1034.0,2023-01-01
2023,2,5466.0,5471576.0,1001.0,2023-02-01
2023,3,3873.0,4034284.0,1042.0,2023-03-01
2023,4,5397.0,5428502.0,1006.0,2023-04-01
2023,5,6812.0,7291167.0,1070.0,2023-05-01
2023,6,6631.0,6913048.0,1043.0,2023-06-01
2023,7,7818.0,8283599.0,1060.0,2023-07-01
2023,8,4449.0,4658579.0,1047.0,2023-08-01
2023,9,5244.0,5654740.0,1078.0,2023-09-01
2023,10,2963.0,3453363.0,1165.0,2023-10-01
2023,11,2516.0,3066638.0,1219.0,2023-11-01
2023,12,1276.0,1621675.0,1271.0,2023-12-01
2024,1,4083.0,4353007.0,1066.0,2024-01-01
